12:01:04.0	POWER
12:02:00.0	TOG 1
12:02:04.0	TOG 2
12:02:50.0	TOG 3
12:02:52.0	TOG 4
12:03:35.0	endrun
12:03:55.0	event PARIND
13:04:30.0	newrun
13:05:00.0	TRIG 1
13:05:02.0	TRIG 1
13:05:15.0	DNF 1
13:05:18.0	TRIG 2
13:35:52.0	Print
13:45:23.0	trig 3
13:45:45.0	trig 3
13:46:56.0	swap 1
13:47:23.0	swap 2
13:50:23.0	trig 2
13:51:24.0	trig 4
13:51:44.0	print
13:51:50.0	trig 4
13:54:23.0	print
13:54:23.0	trig 1
13:54:30.0	cancel
13:54:35.0	print
13:55:39.0	trig 3
13:56:40.0	trig 4
13:57:23.0	print
13:35:55.0	EXIT
